name	intensity-avg	volume
Left-Lateral-Ventricle	32.0793	3121.1
Left-Inf-Lat-Vent	38.8866	349.2
Left-Cerebellum-White-Matter	81.6453	12200.0
Left-Cerebellum-Cortex	55.4213	46593.6
Left-Thalamus	83.4349	7325.3
Left-Caudate	69.0637	3479.1
Left-Putamen	76.6516	5090.4
Left-Pallidum	93.1645	1731.7
3rd-Ventricle	38.6229	668.0
4th-Ventricle	24.1108	1718.4
Brain-Stem	83.0862	18686.6
Left-Hippocampus	59.4602	4116.9
Left-Amygdala	61.4294	1673.8
CSF	37.6171	855.9
Left-Accumbens-area	65.7371	632.2
Left-VentralDC	88.699	3843.0
Left-vessel	58.8947	27.8
Left-choroid-plexus	53.596	390.8
Right-Lateral-Ventricle	31.7321	2938.6
Right-Inf-Lat-Vent	31.2569	223.5
Right-Cerebellum-White-Matter	81.5973	12767.8
Right-Cerebellum-Cortex	57.1983	46799.1
Right-Thalamus	83.0173	6997.5
Right-Caudate	67.7111	3616.6
Right-Putamen	75.7073	5250.5
Right-Pallidum	92.6433	1536.3
Right-Hippocampus	61.3205	4422.2
Right-Amygdala	61.6361	1620.3
Right-Accumbens-area	64.0523	598.7
Right-VentralDC	88.4271	3772.4
Right-vessel	59.7143	12.7
Right-choroid-plexus	51.4442	723.2
5th-Ventricle	0.0	0.0
WM-hypointensities	66.8652	1007.2
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	66.5876	91.9
CC_Posterior	100.871	780.0
CC_Mid_Posterior	93.3286	361.2
CC_Central	90.5882	604.5
CC_Mid_Anterior	94.0626	473.5
CC_Anterior	105.3279	677.3
