name	intensity-avg	volume
Left-Lateral-Ventricle	19.7651	7852.6
Left-Inf-Lat-Vent	40.3317	411.3
Left-Cerebellum-White-Matter	84.5745	13987.9
Left-Cerebellum-Cortex	53.8964	56382.1
Left-Thalamus	80.7952	6659.0
Left-Caudate	68.7034	3381.1
Left-Putamen	77.0343	5246.4
Left-Pallidum	93.0257	1885.0
3rd-Ventricle	23.0053	1478.9
4th-Ventricle	20.4445	2267.7
Brain-Stem	82.2035	20147.8
Left-Hippocampus	59.2853	4120.9
Left-Amygdala	62.4974	1903.8
CSF	31.6506	1244.2
Left-Accumbens-area	65.112	724.2
Left-VentralDC	87.3038	4095.5
Left-vessel	52.7077	67.1
Left-choroid-plexus	43.9153	464.4
Right-Lateral-Ventricle	14.0781	12466.6
Right-Inf-Lat-Vent	34.2953	812.9
Right-Cerebellum-White-Matter	83.1605	14125.6
Right-Cerebellum-Cortex	54.8997	58738.8
Right-Thalamus	80.3819	6467.0
Right-Caudate	67.2059	3614.9
Right-Putamen	77.1968	5495.2
Right-Pallidum	92.8704	1645.3
Right-Hippocampus	58.2055	4086.4
Right-Amygdala	61.1382	1680.5
Right-Accumbens-area	63.4892	817.6
Right-VentralDC	86.9079	4296.5
Right-vessel	52.119	44.3
Right-choroid-plexus	42.748	717.5
5th-Ventricle	0.0	0.0
WM-hypointensities	68.619	1254.7
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	63.9559	140.0
CC_Posterior	102.5811	872.9
CC_Mid_Posterior	91.7468	524.5
CC_Central	92.4731	392.7
CC_Mid_Anterior	96.5748	483.7
CC_Anterior	101.7765	825.6
